Topology,R1,R2,R3,C1,C2,C3,RA,RB,K_calc,Q_calc,f0_calc,SampleID,FamilyLabel,ResponseType
MFB_BPF,43485.1057620036,1127.42442001874,NaN,5.5450928968591e-10,2.51287356612647e-11,NaN,NaN,NaN,-915142.724721867,0.0327911250323875,192560.149983977,1581,MFB,BPF
ACTIVE_OTHER_CASCADED_VCVS,9671.20714010213,9671.20714010213,2429.73217342271,4.24259010424588e-10,4.24259010424588e-10,8.15791438746906e-11,9847.37948850155,6477.79674364216,3.14086414075932,0.824843073764851,420864.019260202,2688,ACTIVE_OTHER,LPF
MFB_LPF,1038002973.05313,1262.1454900296,1611485383.54029,6.0013321693178e-10,3.65243219027108e-10,NaN,NaN,NaN,-1.55248628893649,0.00113441878148046,238.362165808304,1404,MFB,LPF
PASSIVE_RLC_BPF,12.7740350478407,NaN,NaN,2.09358931056985e-11,NaN,NaN,NaN,NaN,1,10,133.699141799144,569,PASSIVE,BPF
ACTIVE_OTHER_CASCADED_VCVS,10511.8600138964,10511.8600138964,284239.87844662,7.14913651396834e-12,7.14913651396834e-12,8.89301266722685e-12,10020.6186076576,12838.2216863297,3.34849153847668,1.02192943415422,1090386.50466458,2451,ACTIVE_OTHER,HPF
VCVS_BSF,4747.87812456638,4747.87812456638,NaN,4.40794770966026e-12,4.40794770966026e-12,NaN,9964.2060097456,4042.47339433388,1.40569949982769,0.8413252215925,7604735.88336997,1191,VCVS,BSF
PASSIVE_RC,7086.81288561089,NaN,NaN,1.46427208334383e-12,NaN,NaN,NaN,NaN,1,NaN,15337245.9822479,586,PASSIVE,LPF
MFB_BPF,56555.3147222353,8619.63585609581,NaN,3.40370692448505e-10,1.14703539632479e-11,NaN,NaN,NaN,-1541522.10403558,0.0693307236448862,115365.106482177,1969,MFB,BPF
PASSIVE_RC,578477.01138594,NaN,NaN,1.02802808680055e-12,NaN,NaN,NaN,NaN,1,NaN,267626.458202611,498,PASSIVE,HPF
PASSIVE_RLC_BSF,140.038895955609,NaN,NaN,9.582923259254e-12,NaN,NaN,NaN,NaN,1,10,185.768630870855,26,PASSIVE,BSF
VCVS_BPF,533842.09749288,533842.09749288,NaN,5.35333625248245e-12,5.35333625248245e-12,NaN,9897.39562293446,12778.8379855297,2.29113137156186,1.41069862578531,55690.7145715074,735,VCVS,BPF
MFB_BPF,1546.20281942736,543397.215898747,NaN,8.16238541773014e-11,5.82870260597348e-10,NaN,NaN,NaN,-1109587.72077809,6.15359390854941,25172.9260075229,1638,MFB,BPF
PASSIVE_RLC_BSF,9407.18669686844,NaN,NaN,3.05418263979088e-12,NaN,NaN,NaN,NaN,1,10,455.355807840359,112,PASSIVE,BSF
MFB_HPF,1885.54417081459,25542.5514137081,NaN,1.57016266698144e-11,2.09115664837709e-10,5.67042138067895e-11,NaN,NaN,-3.61135919221673,0.0291007984532291,210605.005034395,1538,MFB,HPF
VCVS_BSF,69130.5910654429,69130.5910654429,NaN,7.20247310199048e-11,7.20247310199048e-11,NaN,9966.12530360097,5773.54516525353,1.57931693505473,1.18854320904278,31964.5221566419,980,VCVS,BSF
MFB_BPF,11934.2371448931,4155725.26208743,NaN,2.95885782533749e-11,4.47775549719697e-11,NaN,NaN,NaN,-1871306.64953627,9.13362378055872,19633.9259678488,1408,MFB,BPF
VCVS_BPF,962.49959409129,962.49959409129,NaN,1.62514613639242e-10,1.62514613639242e-10,NaN,10071.0773907965,8918.88384131836,1.88559381436875,0.897338881364475,1017482.98852698,1359,VCVS,BPF
ACTIVE_OTHER_CASCADED_VCVS,19317.0243879735,19317.0243879735,288670.736693449,1.80223142370297e-11,1.80223142370297e-11,2.63224253227761e-10,9913.10514523718,13363.3607324407,3.99897459198834,1.15246599884098,229627.867159821,2320,ACTIVE_OTHER,HPF
PASSIVE_RLC_BPF,40.7936221912128,NaN,NaN,6.71170991981123e-11,NaN,NaN,NaN,NaN,1,10,5201.3410809665,622,PASSIVE,BPF
VCVS_BPF,49242.0445736943,49242.0445736943,NaN,1.9309870631963e-12,1.9309870631963e-12,NaN,10021.6755094016,5618.62034965315,1.56064680445722,0.694756508059787,1673804.34351022,720,VCVS,BPF
PASSIVE_RLC_BPF,7047.0614380844,NaN,NaN,9.50007566233578e-12,NaN,NaN,NaN,NaN,1,10,1177.01753187418,624,PASSIVE,BPF
VCVS_BPF,4387.21824828851,4387.21824828851,NaN,2.39659418605446e-11,2.39659418605446e-11,NaN,10194.2267570654,12080.3447996263,2.18501825469535,1.22702134834466,1513688.07909537,830,VCVS,BPF
MFB_BPF,44271.5597024205,22.2159683194154,NaN,3.82622601550529e-10,2.29839321423794e-10,NaN,NaN,NaN,-98276.763724129,0.0108464743694153,541162.40865768,1957,MFB,BPF
VCVS_LPF,140645.462768465,140645.462768465,NaN,7.1973866946836e-12,7.1973866946836e-12,NaN,9991.13211515181,14012.7390406283,2.40251764055623,1.67368958128062,157224.263350366,854,VCVS,LPF
PASSIVE_RC,2597.92042277419,NaN,NaN,2.53731850275095e-12,NaN,NaN,NaN,NaN,1,NaN,24144560.3200442,597,PASSIVE,LPF
ACTIVE_OTHER_CASCADED_VCVS,3007.85491714951,3007.85491714951,10045.0934699805,3.93287813934038e-11,3.93287813934038e-11,6.50868995609129e-11,10052.960840815,11374.4601257838,4.30495342772425,1.08573626595832,794416.636342403,2687,ACTIVE_OTHER,HPF
VCVS_BSF,6252.05894867276,6252.05894867276,NaN,4.94865836620126e-11,4.94865836620126e-11,NaN,9968.99361074579,670.393124523388,1.06724782367207,0.536048065809296,514410.227217241,823,VCVS,BSF
MFB_HPF,34172.7740485471,1966634302.87062,NaN,6.00041054093106e-10,2.94998457909027e-10,3.20769027783465e-11,NaN,NaN,-0.0534578468582073,0.00818160797615779,199.577750072857,1493,MFB,HPF
VCVS_BPF,7563.6928138479,7563.6928138479,NaN,7.0706957260555e-10,7.0706957260555e-10,NaN,9914.62788271309,11033.6886516254,2.11286966915455,1.12723008697829,29759.395187179,1394,VCVS,BPF
VCVS_BSF,645522.37617564,645522.37617564,NaN,1.1198768851351e-11,1.1198768851351e-11,NaN,10107.8355715727,2365.7214100092,1.23404826812404,0.652782648294832,22016.0067583072,890,VCVS,BSF
VCVS_BPF,2327.4818189374,2327.4818189374,NaN,7.21904006262121e-10,7.21904006262121e-10,NaN,10011.8507833717,5423.9261084171,1.54175059394867,0.685753750936073,94722.7684176615,827,VCVS,BPF
PASSIVE_RLC_BSF,1438.87061142184,NaN,NaN,4.73054279888141e-10,NaN,NaN,NaN,NaN,1,1.68119216611676,139081.720873959,524,PASSIVE,BSF
VCVS_BSF,122159.219445745,122159.219445745,NaN,8.93799042002207e-10,8.93799042002207e-10,NaN,10212.3240236123,7590.3380048417,1.74325275885213,1.94744059474441,1457.65248631391,1290,VCVS,BSF
VCVS_HPF,16038.4256553787,16038.4256553787,NaN,2.0854827701763e-12,2.0854827701763e-12,NaN,9727.67152464311,8144.70455075213,1.8372717489606,0.860046188011743,4758299.67462488,708,VCVS,HPF
ACTIVE_OTHER_CASCADED_VCVS,4932.71141767956,4932.71141767956,5908.93844446158,8.42495192206966e-11,8.42495192206966e-11,2.73658105735809e-12,10006.0878138154,7710.29138414811,3.21510999483922,0.828940804418558,5112701.15250782,2359,ACTIVE_OTHER,HPF
MFB_BPF,31629.2241591032,2285.13425394891,NaN,4.37220704430576e-10,2.07402147780582e-10,NaN,NaN,NaN,-152439.744221139,0.125563345291113,62167.4447889809,1466,MFB,BPF
PASSIVE_RC,174809.269236383,NaN,NaN,3.22398431117251e-11,NaN,NaN,NaN,NaN,1,NaN,28239.8739956974,425,PASSIVE,LPF
PASSIVE_RC,1334.58774084514,NaN,NaN,4.79736014408356e-10,NaN,NaN,NaN,NaN,1,NaN,248582.572269877,681,PASSIVE,HPF
