SampleID,FamilyLabel,ResponseType,Topology,EquationSource,R1,R2,R3,C1,C2,C3,L1,RA,RB,K_calc,Q_calc,f0_calc
1271,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,745530.530138689,745530.530138689,NaN,1.10427124945338e-11,1.10427124945338e-11,NaN,NaN,10141.8416356948,6711.58120144734,1.66177144571313,0.747256510703352,19332.0955776406
883,VCVS,LPF,VCVS_LPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,1081.1956082421,1081.1956082421,NaN,4.4515163889729e-10,4.4515163889729e-10,NaN,NaN,9917.30890686022,6598.07101818522,1.66530861145417,0.749236871221231,330679.964286774
150,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,2399.99865375509,NaN,NaN,2.952016855428e-12,NaN,NaN,NaN,NaN,NaN,1,NaN,22464166.0490153
213,PASSIVE,HPF,PASSIVE_RC_HPF,Passive RC first-order equation,397477.507696416,NaN,NaN,1.04674375130085e-10,NaN,NaN,NaN,NaN,NaN,1,NaN,3825.31494023414
1204,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,639783.646433611,639783.646433611,NaN,1.79300074135229e-11,1.79300074135229e-11,NaN,NaN,9848.72446154935,9738.29849936576,1.98878779047838,0.988912110221727,13874.1545398909
847,VCVS,LPF,VCVS_LPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,94823.6238430203,94823.6238430203,NaN,3.57378164427203e-12,3.57378164427203e-12,NaN,NaN,9990.62114170837,8667.1618258844,1.86752982651911,0.883025463643148,469651.343663805
244,PASSIVE,HPF,PASSIVE_RC_HPF,Passive RC first-order equation,10920.9357767439,NaN,NaN,6.90541326434814e-12,NaN,NaN,NaN,NaN,NaN,1,NaN,2110428.30913996
909,VCVS,LPF,VCVS_LPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,881588.925782068,881588.925782068,NaN,4.73297660008897e-12,4.73297660008897e-12,NaN,NaN,9969.21775564369,10766.0043599953,2.07992468655834,1.08686754811339,38143.4216029289
2374,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,2123.03699650884,17702.171877386,NaN,6.75149812790042e-10,1.99151014320221e-10,NaN,NaN,NaN,NaN,1,1.21105800121261,70800.5671685452
1260,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,291899.917589682,291899.917589682,NaN,8.14241073697215e-10,8.14241073697215e-10,NaN,NaN,9845.86245974221,12901.4436588281,2.31034164976198,1.44999331865534,669.627303052258
2752,ACTIVE_OTHER,HPF,ACTIVE_OTHER_STATE_VARIABLE_HPF,External state-variable/biquad active-filter canonical equation,286492.368860208,360554.68506437,4778.08761684551,3.65229283794235e-11,8.76700642968166e-10,NaN,NaN,10003.931478719,24548.7554639761,3.45391079659011,0.491784652193116,2767.38493557816
2196,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,31394.2246447989,1989512.10201715,NaN,1.08895051099668e-11,2.93181748847298e-11,NaN,NaN,NaN,NaN,-1086458.91351089,3.53762613841499,35640.9622789501
755,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC second-order equation,1815.3921383665,NaN,NaN,4.72840065455644e-11,NaN,NaN,0.00344002823339137,NaN,NaN,1,4.69843711701299,394622.636463701
845,VCVS,LPF,VCVS_LPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,8515.8113181832,8515.8113181832,NaN,7.69964817181056e-10,7.69964817181056e-10,NaN,NaN,10071.8967131047,7548.82720270464,1.74949410401347,0.799676357552152,24272.9868343106
2152,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,3622.23384259939,741710.239957964,NaN,1.02895399752573e-10,2.96090941172009e-11,NaN,NaN,NaN,NaN,-9323916.93159636,5.96085870540705,55629.3791014567
736,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC second-order equation,28695438.8180525,NaN,NaN,1.03364882155489e-12,NaN,NaN,2064.62475679979,NaN,NaN,1,1.55747537176716,3445.18905948382
789,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC second-order equation,89336.0226092321,NaN,NaN,4.57919505773039e-11,NaN,NaN,2.65345437568151,NaN,NaN,1,2.69453995403119,14438.4225523135
1122,VCVS,HPF,VCVS_HPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,228915.561612952,228915.561612952,NaN,4.84692325013348e-12,4.84692325013348e-12,NaN,NaN,10093.8075564724,3727.00798920845,1.36923707613373,0.613209918722684,143442.772872984
1970,MFB,HPF,MFB_HPF_Maheshwari,Maheshwari MFB active-filter equations,1113.47974286673,45272.312040133,NaN,3.90126888183622e-10,8.74323532985606e-10,1.73411087287354e-11,NaN,NaN,NaN,-0.0444499193825713,0.338930742143412,182048.925381155
3170,ACTIVE_OTHER,BSF,ACTIVE_OTHER_STATE_VARIABLE_BSF,External state-variable/biquad active-filter canonical equation,388420.074668923,1536.13686097798,12718.5205600764,6.12232673976585e-12,1.96040366118428e-12,NaN,NaN,9835.21730364759,22559.9404443721,3.29379176360499,1.25359309892568,1880716.51590415
166,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,2936.37702214965,NaN,NaN,1.41495048359546e-11,NaN,NaN,NaN,NaN,NaN,1,NaN,3830602.3676495
1445,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,151608.49482591,151608.49482591,NaN,3.25746366175985e-12,3.25746366175985e-12,NaN,NaN,10172.5734097562,5632.81115379546,1.55372528925603,1.12038613876746,322267.875356828
568,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,88702.675413052,NaN,NaN,3.3829922335189e-10,NaN,NaN,33.6861044025216,NaN,NaN,1,3.55744484726946,1490.88531182869
487,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,121.954760874987,NaN,NaN,4.61572183663206e-10,NaN,NaN,0.000182368026781913,NaN,NaN,1,5.15413484174103,548562.313272921
1592,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,6235.47751702203,6235.47751702203,NaN,7.36113630110136e-10,7.36113630110136e-10,NaN,NaN,9902.67040766563,1694.62086403719,1.17112766499079,0.603229205369055,34674.1285267656
52,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,226581.069429013,NaN,NaN,5.48025826536706e-10,NaN,NaN,NaN,NaN,NaN,1,NaN,1281.72685438172
1508,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,318094.873907643,318094.873907643,NaN,2.24468871977533e-11,2.24468871977533e-11,NaN,NaN,9819.69608332853,1572.22398635991,1.16010923077642,0.595315508065664,22289.859808943
134,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,12012.1046433105,NaN,NaN,9.45444203761871e-11,NaN,NaN,NaN,NaN,NaN,1,NaN,140140.970615336
2562,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,External state-variable/biquad active-filter canonical equation,87400.2902564104,1060.44752635307,15523.9843960254,1.19831737050917e-10,8.2102618658652e-12,NaN,NaN,10443.8192411512,7525.72837148267,1.72059159563289,1.5969728065428,527053.462169343
3,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,14544.3550641789,NaN,NaN,8.27851048880795e-10,NaN,NaN,NaN,NaN,NaN,1,NaN,13218.2347368366
2308,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,512.559978148288,36635.996079993,NaN,1.8415249358707e-10,3.07675133619018e-11,NaN,NaN,NaN,NaN,1,2.96100956762034,487931.41713485
722,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC second-order equation,105206.98546094,NaN,NaN,3.86255828289564e-10,NaN,NaN,4.94663910710278,NaN,NaN,1,1.07565503324234,3641.05714871587
1479,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,268346.042181535,268346.042181535,NaN,4.04587417760855e-10,4.04587417760855e-10,NaN,NaN,10192.1947224257,5478.63486411589,1.5375323974199,1.08115681446766,1465.92774559531
2379,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,1312.88316788148,120223.756216942,NaN,1.60662185799111e-10,1.89991933951854e-10,NaN,NaN,NaN,NaN,1,4.76790482771002,72508.2674026332
1594,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,201334.521190605,201334.521190605,NaN,1.40415155038696e-12,1.40415155038696e-12,NaN,NaN,9973.11029613633,2745.85274266253,1.27532561669616,0.68996505398806,562973.434099895
2168,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,1859.4545003743,542116.063422366,NaN,6.19090363643123e-11,1.16423134609933e-11,NaN,NaN,NaN,NaN,-46192892.3096688,6.23245826287213,186717.296054171
478,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,544171.922182532,NaN,NaN,2.67962143785879e-12,NaN,NaN,5.48908946661497,NaN,NaN,1,2.630130534817,41498.5818025373
573,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,784446.519321694,NaN,NaN,6.57663724706888e-10,NaN,NaN,1204.19433900033,NaN,NaN,1,1.72497579894203,178.842156142928
1431,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,4901.48855340436,4901.48855340436,NaN,2.47681492920268e-10,2.47681492920268e-10,NaN,NaN,10137.1203944159,1240.32242220969,1.12235451232215,0.569706113709926,131098.75945807
2237,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,337050.213209735,55814121.1046382,NaN,5.08536839337068e-10,7.40047935980868e-11,NaN,NaN,NaN,NaN,1,4.28537576104472,189.151438197936
980,VCVS,LPF,VCVS_LPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,44750.8610827107,44750.8610827107,NaN,1.7167498314563e-12,1.7167498314563e-12,NaN,NaN,9953.14366579113,1741.3532065163,1.17495509609706,0.54793172368606,2071627.75974013
2715,ACTIVE_OTHER,HPF,ACTIVE_OTHER_STATE_VARIABLE_HPF,External state-variable/biquad active-filter canonical equation,26690.1722757049,15439.1370038583,32142.3881733233,1.37654319527819e-12,7.65819546987373e-12,NaN,NaN,9805.81180867224,17331.0505341581,2.76742638675062,3.07491076300564,2414764.52491656
2217,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,8296.44244479509,5000752.14923762,NaN,2.49139968028214e-11,3.64578666646183e-10,NaN,NaN,NaN,NaN,1,6.00744439259539,8198.5903272
8,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC first-order equation,289572.857917828,NaN,NaN,2.43061303523665e-11,NaN,NaN,NaN,NaN,NaN,1,NaN,22612.3894470495
1679,MFB,LPF,MFB_LPF_Maheshwari,Maheshwari MFB active-filter equations,2200.67176091766,164774.357034221,3710.88203601225,1.63376217657443e-10,1.74327675855111e-11,NaN,NaN,NaN,NaN,-1.68624967244767,0.169602704300354,120603.290066816
2019,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,32235.4042459065,3287332.23251915,NaN,3.47224784729772e-10,1.29344224465935e-10,NaN,NaN,NaN,NaN,-239839.018370116,4.49064082918385,2307.02814577456
2193,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,1144.45425009426,5056.18831801056,NaN,2.05407434255171e-10,1.12756173958392e-10,NaN,NaN,NaN,NaN,-7749277.84897692,1.00540292291051,434741.449081164
2124,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,133727.013980135,38262004.4699808,NaN,7.71135589514764e-10,8.71313473084373e-11,NaN,NaN,NaN,NaN,-85823.539818876,5.10863049345959,271.440164971648
590,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,3225935.60546743,NaN,NaN,1.56022117941859e-10,NaN,NaN,12093.9880604395,NaN,NaN,1,2.72920393825695,115.862335720144
2269,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,393168.564639368,3614903.49091967,NaN,1.15145398890428e-10,1.51041579661355e-10,NaN,NaN,NaN,NaN,1,1.50225516981177,1012.30371517693
2326,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + ADI 1-minus-BP notch construction,26167.7849713607,3228489.75443485,NaN,8.8441217054345e-10,5.0134930153247e-11,NaN,NaN,NaN,NaN,1,2.50272189392647,2600.3953567495
1179,VCVS,HPF,VCVS_HPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,406777.97566912,406777.97566912,NaN,7.66337919053811e-12,7.66337919053811e-12,NaN,NaN,9833.24428982657,7499.20940041565,1.76263837034683,0.808171173273169,51055.4825850181
605,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC second-order equation,498431.56092325,NaN,NaN,1.16606435848106e-11,NaN,NaN,34.3415319871025,NaN,NaN,1,3.4430476872374,7953.33065701749
2947,ACTIVE_OTHER,BPF,ACTIVE_OTHER_STATE_VARIABLE_BPF,External state-variable/biquad active-filter canonical equation,555372.49084053,104275.386106041,18651.8503880425,3.83180754486984e-10,6.63427524497119e-11,NaN,NaN,10412.6861172538,18196.5565605068,2.74753722100153,1.93897401318992,4147.99724543023
1020,VCVS,HPF,VCVS_HPF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,47149.4237109212,47149.4237109212,NaN,1.5481265841979e-12,1.5481265841979e-12,NaN,NaN,9869.63791908686,4596.50403326945,1.46572164763819,0.651772214905226,2180405.52788779
352,PASSIVE,HPF,PASSIVE_RC_HPF,Passive RC first-order equation,18910.8623812241,NaN,NaN,1.54614955380641e-10,NaN,NaN,NaN,NaN,NaN,1,NaN,54432.3767666267
2482,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,External state-variable/biquad active-filter canonical equation,23187.6314219868,59353.7134129565,26144.1684533776,2.51077433830409e-12,1.30444301002678e-10,NaN,NaN,9843.90426242141,22716.5045503599,3.30767223499714,2.59114833878361,237056.350516711
2575,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,External state-variable/biquad active-filter canonical equation,395118.830893583,1465.4047565933,29113.6740778345,8.1114922528202e-10,8.47750298065377e-12,NaN,NaN,10034.1971218495,30118.2830261823,4.00156381825504,2.86549727179591,79761.463624659
2069,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB active-filter equations,3480.91926170853,185594.418915147,NaN,3.20492000609111e-11,7.09462755183835e-11,NaN,NaN,NaN,NaN,-4049267.32215474,3.38057621383475,131315.896455065
2464,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,External state-variable/biquad active-filter canonical equation,1061.54283087066,20948.8802431018,8965.9814761946,5.10732759006387e-10,2.51376057848136e-10,NaN,NaN,10409.0414294059,26872.5354712071,3.58165323420572,0.900467375411142,94191.594911853
465,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC second-order equation,37250976.1329534,NaN,NaN,3.5063393173648e-12,NaN,NaN,46276.1107061436,NaN,NaN,1,3.08399593765786,395.107010144704
1485,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equal-component active-filter equations,110824.978256796,110824.978256796,NaN,3.67694225040434e-11,3.67694225040434e-11,NaN,NaN,9830.55410309998,5174.26976366615,1.52634568808634,1.055622185682,39056.7109782174
3112,ACTIVE_OTHER,BSF,ACTIVE_OTHER_STATE_VARIABLE_BSF,External state-variable/biquad active-filter canonical equation,6792.28139256132,223357.558319117,24595.1154814814,3.75368641525914e-10,6.32242399482805e-12,NaN,NaN,9925.38686779133,11642.8019853848,2.1730325619011,2.45292354957275,83876.6675009248
2529,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,External state-variable/biquad active-filter canonical equation,40294.392478648,10502.5424073236,22110.9704905113,5.51529720203915e-10,1.13786387292026e-12,NaN,NaN,9798.20673970209,17385.5298129474,2.77435833666396,2.23551899824626,308831.072112572
