SampleID,FamilyLabel,ResponseType,Topology,EquationSource,R1,R2,R3,C1,C2,C3,L1,RA,RB,K_calc,Q_calc,f0_calc
2075,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB equation + current signature,357265.029166924,6161385.16193815,NaN,7.67498976367265e-11,5.39984827428993e-11,NaN,NaN,NaN,NaN,-51835.5767920713,2.04473621341448,1666.31083286309
1793,MFB,LPF,MFB_LPF_Maheshwari,Maheshwari MFB equation + current signature,1180.57469018135,3201.25556103554,2990.3926032157,1.05387758951702e-10,1.23301038313384e-10,NaN,NaN,NaN,NaN,-2.53299738516023,0.20002634482647,451250.19457499
1297,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,2933.62418999396,2933.62418999396,NaN,1.04909952169968e-12,1.04909952169968e-12,NaN,NaN,9885.10391784233,6697.61480109716,1.67754622073402,0.756170095075116,51712908.4975129
1438,VCVS,BSF,VCVS_BSF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,118798.934009079,118798.934009079,NaN,2.43079397699875e-10,2.43079397699875e-10,NaN,NaN,9978.51286900613,6822.7424098009,1.68374340940049,1.58099472030662,5511.36833048465
2025,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB equation + current signature,109725.325472389,117553.65958663,NaN,4.73640593637388e-11,7.38116465077027e-11,NaN,NaN,NaN,NaN,-123471.92783195,0.505051871495784,23700.729350259
2624,ACTIVE_OTHER,HPF,ACTIVE_OTHER_STATE_VARIABLE_HPF,State-variable/biquad-like active-other equation + current signature,1135.04730856016,4773.29378360137,41427.201588139,7.70846762352386e-10,2.96713773966764e-12,NaN,NaN,9877.08489440853,11504.384605398,2.16475505965437,3.96086361523111,1429720.64218561
2131,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB equation + current signature,287412.148748735,2220136.730438,NaN,8.23022463295563e-10,1.00134800999056e-09,NaN,NaN,NaN,NaN,-3474.64019541923,1.38300143079997,219.472113515363
2299,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + 1-minus-BP notch + current signature,10139.5089252627,393675.213010742,NaN,3.08493379966404e-11,1.94871694871208e-11,NaN,NaN,NaN,NaN,1,3.03511255228278,102741.364564888
26,PASSIVE,LPF,PASSIVE_RC_LPF,Passive RC equation + source-current signature,103438.159141266,NaN,NaN,2.59307393791482e-12,NaN,NaN,NaN,NaN,NaN,1,NaN,593368.446915729
2572,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,State-variable/biquad-like active-other equation + current signature,129821.864081816,116177.651984792,18683.925764533,1.93130699123324e-11,7.66349260886468e-12,NaN,NaN,10085.5708869156,10446.8713327606,2.03582349972016,1.87054033233758,106523.612489471
2345,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + 1-minus-BP notch + current signature,2569.40773144916,5212.88602372434,NaN,1.92337994822648e-10,2.97595003550944e-10,NaN,NaN,NaN,NaN,1,0.695554668281387,181768.717869344
2241,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + 1-minus-BP notch + current signature,1414.25253416359,128997.702280892,NaN,1.23168191097096e-10,9.3884039280184e-11,NaN,NaN,NaN,NaN,1,4.73160428558576,109577.27514522
2947,ACTIVE_OTHER,BPF,ACTIVE_OTHER_STATE_VARIABLE_BPF,State-variable/biquad-like active-other equation + current signature,3076.73809230279,2515.72675173663,54462.9345126756,1.66057030514967e-10,5.78007954910666e-11,NaN,NaN,10030.4713699167,20271.5809082353,3.02099982748903,5.38983391745535,583912.257330324
1250,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,2456.12965346917,2456.12965346917,NaN,7.86293166440378e-11,7.86293166440378e-11,NaN,NaN,10088.9060931018,1364.20976148052,1.13521879863797,0.536255942128547,824108.401912957
1061,VCVS,HPF,VCVS_HPF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,2453.39264972801,2453.39264972801,NaN,2.4562965357138e-11,2.4562965357138e-11,NaN,NaN,10049.9479129368,13685.1941356788,2.36171791677273,1.56670542112637,2641023.56392966
1260,VCVS,BPF,VCVS_BPF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,76392.1134125461,76392.1134125461,NaN,6.18079672303518e-11,6.18079672303518e-11,NaN,NaN,9819.95825903999,7171.16202579153,1.730264002822,0.787565290912844,33707.5467870523
611,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC equation + source-current signature,310192534.221461,NaN,NaN,1.30980081349223e-12,NaN,NaN,288732.341776344,NaN,NaN,1,1.51360916167108,258.803286528104
1751,MFB,LPF,MFB_LPF_Maheshwari,Maheshwari MFB equation + current signature,303323.055608156,2759.09786754414,700226.629395932,5.9996820930843e-10,6.54338250227781e-11,NaN,NaN,NaN,NaN,-2.30851765617352,0.187629923408172,18274.7731166386
565,PASSIVE,BPF,PASSIVE_RLC_BPF,Passive RLC equation + source-current signature,437723.884130762,NaN,NaN,4.99922907437691e-11,NaN,NaN,173.279072891313,NaN,NaN,1,4.25325376232578,1709.99781360611
2673,ACTIVE_OTHER,HPF,ACTIVE_OTHER_STATE_VARIABLE_HPF,State-variable/biquad-like active-other equation + current signature,994370.851466736,702014.923987044,27073.2690892687,6.69992883842633e-10,7.36396144541497e-11,NaN,NaN,9840.52192873695,23775.7078986393,3.41610232372003,2.8098316507887,857.594364865166
3061,ACTIVE_OTHER,BSF,ACTIVE_OTHER_STATE_VARIABLE_BSF,State-variable/biquad-like active-other equation + current signature,12308.7534784613,252685.051842326,27287.055495259,3.95315074251069e-11,3.02903830397516e-10,NaN,NaN,9528.29441058486,10415.7425650518,2.09313819622126,2.61808600535222,26079.4992943003
2226,MFB,BSF,MFB_BSF_1_MINUS_BP,Maheshwari MFB BPF denominator + 1-minus-BP notch + current signature,176.427798614851,21232.3839598744,NaN,3.69433246750714e-10,1.63884170876356e-10,NaN,NaN,NaN,NaN,1,5.06135263961985,334195.618625061
2986,ACTIVE_OTHER,BPF,ACTIVE_OTHER_STATE_VARIABLE_BPF,State-variable/biquad-like active-other equation + current signature,422517.16738595,3129.89920682873,54455.8263750512,2.15518123567182e-11,3.03507051192612e-11,NaN,NaN,10267.4012294955,11794.6044958836,2.1487429226006,5.57696826399434,171122.251075114
2426,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,State-variable/biquad-like active-other equation + current signature,838835.255840396,28460.9398540067,45159.1955218407,3.46583962211475e-10,8.63902834168093e-12,NaN,NaN,9646.98203403488,21752.0382398668,3.25480239966498,4.75063221514763,18824.3719144656
2080,MFB,BPF,MFB_BPF_Maheshwari,Maheshwari MFB equation + current signature,7078.48094546612,386308.652602784,NaN,1.07346255519928e-10,2.20501484240705e-11,NaN,NaN,NaN,NaN,-6406906.93416081,2.77762866643816,62558.1175291105
3029,ACTIVE_OTHER,BSF,ACTIVE_OTHER_STATE_VARIABLE_BSF,State-variable/biquad-like active-other equation + current signature,829165.18448225,1230.53008871221,13302.5222641386,3.11752754662962e-10,4.38547395082327e-11,NaN,NaN,9916.51414629215,8098.991120605,1.81671754823576,1.34845150584549,42612.7994435028
2450,ACTIVE_OTHER,LPF,ACTIVE_OTHER_STATE_VARIABLE_LPF,State-variable/biquad-like active-other equation + current signature,117388.535053658,7209.61505455865,17332.8331733854,2.06690775811237e-10,5.64541943332398e-10,NaN,NaN,10257.6022503764,14036.2780856656,2.3683780812568,1.79388704665649,16015.5772696202
1906,MFB,HPF,MFB_HPF_Maheshwari,Maheshwari MFB equation + current signature,206747.971391213,521.383710889252,NaN,1.45638805196069e-11,7.20838556041742e-11,1.27993668222998e-10,NaN,NaN,NaN,-8.78843163061414,1.01398204862457,159590.680590235
719,PASSIVE,BSF,PASSIVE_RLC_BSF,Passive RLC equation + source-current signature,54726.6687515407,NaN,NaN,2.48960980162046e-10,NaN,NaN,1.00964871367037,NaN,NaN,1,1.16364495893316,10038.5119639286
1150,VCVS,HPF,VCVS_HPF_Maheshwari,Maheshwari VCVS equations + prototype input/supply-current signature,2484.66462219305,2484.66462219305,NaN,3.14703366514365e-10,3.14703366514365e-10,NaN,NaN,10130.4430808099,3602.92227437074,1.35565298039093,0.608144137505564,203540.560690423
